project,artifactid,groupId,release version
geomajas-project-server,geomajas-plugin-vendorspecificpipeline,org.geomajas.plugin,1.15.1
geomajas-project-server,geomajas-testdata,org.geomajas,1.15.1
,,,
geomajas-project-server,geomajas-project-server,org.geomajas.project,1.16.0
geomajas-project-server,geomajas-api-experimental,org.geomajas.project,1.16.0
geomajas-project-server,geomajas-api,org.geomajas,1.16.0
geomajas-project-server,geomajas-command,org.geomajas,1.16.0
geomajas-project-server,geomajas-common-servlet,org.geomajas,1.16.0
geomajas-project-server,geomajas-impl,org.geomajas,1.16.0
geomajas-project-server,geomajas-server-plugin-parent,org.geomajas,1.16.0
geomajas-project-server,geomajas-server-plugin-cache-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-cache-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-cache-infinispan,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-cache,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-deskmanager-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-deskmanager,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-face-rest-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-face-rest-documentation,org.geomajas.documentation,1.16.0
geomajas-project-server,geomajas-face-rest-example,org.geomajas,1.16.0
geomajas-project-server,geomajas-face-rest,org.geomajas,1.16.0
geomajas-project-server,geomajas-server-plugin-geocoder-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-geocoder,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-common-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-common-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-layer-common,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-geotools-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-geotools-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-geotools,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-googlemaps-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-googlemaps-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-googlemaps,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-hibernate-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-hibernate-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-hibernate,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-openstreetmap-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-openstreetmap-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-openstreetmap,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-tms-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-tms-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-tms,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-layer-wms-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-wms-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-layer-wms,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-print-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-print,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-profiling-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,profiling-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-profiling,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-rasterizing-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,rasterizing-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-rasterizing,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-reporting-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-reporting-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-reporting,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-runtimeconfig-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-runtimeconfig-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-runtimeconfig,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-staticsecurity-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-staticsecurity-ldap,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-staticsecurity,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-server-plugin-vendorspecificpipeline-parent,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-vendorspecificpipeline-documentation,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-plugin-vendorspecificpipeline,org.geomajas.plugin,1.16.0
geomajas-project-server,geomajas-testdata,org.geomajas,1.16.0
geomajas-project-documentation,docbook,org.geomajas.documentation,1.11.0
geomajas-project-documentation,docbook-contributorguide,org.geomajas.documentation,1.11.0
geomajas-project-documentation,docbook-devuserguide,org.geomajas.documentation,1.11.0
geomajas-project-documentation,application.gwt2.archetype,org.geomajas.documentation,1.11.0
geomajas-project-documentation,application.smartgwt.archetype,org.geomajas.documentation,1.11.0
geomajas-project-documentation,docbook-enduserguide,org.geomajas.documentation,1.11.0
geomajas-project-documentation,docbook-gettingstarted,org.geomajas.documentation,1.11.0
geomajas-project-documentation,geomajas-jdocbook-style,org.geomajas.documentation,1.11.0
geomajas-build-tools,geomajas-checkstyle,org.geomajas,2.1.0
geomajas-build-tools,geomajas-jetty-runner,org.geomajas,2.1.0
geomajas-build-tools,geomajas-maven-plugin,org.geomajas,2.1.0
geomajas-project-documentation,geomajas-jdocbook-style,org.geomajas.documentation,1.12.0
geomajas-build-tools,geomajas-build-tools,org.geomajas.project,2.1.0
geomajas-parents,geomajas-parents,org.geomajas.project,2.1.0
geomajas-parents,geomajas-al-parent,org.geomajas,2.1.0
geomajas-parents,geomajas-doc-parent,org.geomajas,2.1.0
geomajas-parents,geomajas-parent,org.geomajas,2.1.0
geomajas-project-server,geomajas-project-server,1.16.1
geomajas-project-server,geomajas-api-experimental,org.geomajas.project,1.16.1
geomajas-project-server,geomajas-api,org.geomajas,1.16.1
geomajas-project-server,geomajas-command,org.geomajas,1.16.1
geomajas-project-server,geomajas-common-servlet,org.geomajas,1.16.1
geomajas-project-server,geomajas-impl,org.geomajas,1.16.1
geomajas-project-server,geomajas-server-plugin-parent,org.geomajas,1.16.1
geomajas-project-server,geomajas-server-plugin-cache-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-cache-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-cache-infinispan,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-cache,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-face-rest-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-face-rest-documentation,org.geomajas.documentation,1.16.1
geomajas-project-server,geomajas-face-rest-example,org.geomajas,1.16.1
geomajas-project-server,geomajas-face-rest,org.geomajas,1.16.1
geomajas-project-server,geomajas-server-plugin-geocoder-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-geocoder,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-common-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-common-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-plugin-layer-common,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-geotools-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-geotools-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-geotools,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-googlemaps-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-googlemaps-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-googlemaps,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-hibernate-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-hibernate-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-hibernate,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-server-layer-openstreetmap-parent,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-openstreetmap-documentation,org.geomajas.plugin,1.16.1
geomajas-project-server,geomajas-layer-openstreetmap,org.geomajas.plugin,1.16.1
